input,output,input pp,output pp,pp generation method,consistency score
Where did fortune cookies originate?,"

Fortune cookies are believed to have originated in Japan in the 19th century and were brought to the United States by Japanese immigrants. It is said that the first fortune cookies were made by a baker in California in the early 1900s.", Where did luck cookies come from?,"

Luck cookies originated in China and are traditionally served at Chinese New Year celebrations. The cookies are said to bring good luck and fortune to those who consume them. They are typically made with sesame seeds and other sweet ingredients, such as sugar, honey, or dried fruit.",Use synonyms,0
Where did fortune cookies originate?,"

Fortune cookies likely originated in either Japan or early 20th century California. It is believed that the first fortune cookies were made by either a Japanese immigrant named Makoto Hagiwara in San Francisco's Japanese Tea Garden in the early 1900s or by the inventor of the fortune cookie machine Charles Jung in Los Angeles in the late 1920s.", The origin of fortune cookies was uncovered.,"

The actual origin of fortune cookies is unclear, though they are widely believed to have originated in the United States in the late 19th century. There are several theories about their origin, including that they were created by immigrants from Japan or China.",Change word forms (parts of speech),0
Where did fortune cookies originate?,"

Fortune cookies are believed to have originated in the United States, most likely in the early 20th century. They were likely first made by either Chinese immigrants living in California or by a Japanese immigrant in San Francisco.", From which source did fortune cookies have their beginning?,"

The origin of fortune cookies has been widely attributed to the Japanese population of California in the late 19th century, although they may have been developed by Chinese immigrants.",Change the structure of a sentence,0
Where did fortune cookies originate?,"

Fortune cookies are believed to have originated in Japan and were brought to the United States by Japanese immigrants in the late 19th century. They were first served in Chinese restaurants, but their popularity has spread around the world."," Though the source of fortune cookies is unclear, I wanted to know where it originated from.","

The origin of fortune cookies is disputed. Some believe they originated in China during the Qing dynasty, while others believe they originated on the west coast of the United States in the early 1900s.",Change conjunctions,0
Where did fortune cookies originate?,"

Fortune cookies are thought to have originated in either the American West Coast or Japan. The earliest known mention of the cookies was in California in the 1890s, although the cookies have a much earlier Chinese origin.", Where did they originate?,"

The term ""OK"" likely originated from a popular joke from the early 1800s. The joke was about a group of people from a town called ""O.K."" The term then spread to other parts of the world and became popularly used as an informal way to express agreement or approval.",Use pronouns,0
Where did fortune cookies originate?,"

Fortune cookies are believed to have originated in the United States. They were created in San Francisco during the 19th century by a Japanese immigrant named Makoto Hagiwara.", Where did luck come in a cookie?,"

Luck did not come in a cookie. The term “lucky cookie” is used as a metaphor to refer to something that has unexpected, beneficial results.",Use idioms,0
Why do veins appear blue?,"

Veins appear blue because the way light interacts with the oxygen-depleted hemoglobin in the red blood cells that are carried in the veins. The hemoglobin absorbs the higher frequencies of light in the visible-light spectrum, leaving the lower colors, such as blue, to be reflected back and seen by our eyes.", Why do veins appear not blue?,"

Veins appear blue because red light is absorbed and scattered more than blue light. This causes the veins to look blue when viewed from the surface of the skin. The color of veins can be affected by skin color and other factors, so veins may appear darker or lighter in color than blue.",Verbs- positive to negative (or vice versa),0
Why do veins appear blue?,"

Veins appear blue because of a phenomenon known as the Tyndall Effect. Light from the environment scatters as it hits the tissue under the skin and the blue light is scattered more than the other colors of the visible spectrum, making the veins appear blue.", Why is it that veins appear blue?,"

Veins appear blue because of the way the light interacts with the oxygen-depleted blood inside them. When the light passes through the thin walls of the veins, it is scattered, resulting in a blueish hue.",Change active to passive OR passive to active,1
Why do veins appear blue?,"

Veins appear blue because of the way that light reflects off the oxygen-rich blood that they contain. When the light hits the blood, the blue wavelengths are reflected while the red wavelengths are absorbed, making the veins appear blue.", What is the reason for veins to appear blue?,"

Veins appear blue because the skin and other tissues that overlay the veins absorb most of the light energy that passes through them, giving the blood in the veins a blue tint.",Use synonyms,0
Why do veins appear blue?,"

Veins appear blue because of how the human eye perceives different wavelengths of light. The amount of oxygenated hemoglobin in the veins is so low that when it reflects light it appears blue to the human eye.", What causes veins to look blue?,"

Veins typically look blue because the light coming through the skin is absorbed by red blood cells and reflected back out as blue light. This effect is known as the Tyndall effect.",Change word forms (parts of speech),0
Why do veins appear blue?,"

Veins appear blue because of the way that light reflects off of the blood inside of them. The red color of the oxygen-rich blood inside is absorbed by the surrounding skin and tissue, while the blue wavelengths of light are scattered and reflected back."," Of the questions asked, why veins appear blue is one."," In short, veins appear blue because the blue wavelengths of light are scattered and absorbed less than the red wavelengths, so the blue colour is more easily seen.",Change the structure of a sentence,0
Why do veins appear blue?,"

Veins appear blue because the light from the sun penetrates the skin, is absorbed by the oxygen-rich blood, and reflects back blue wavelengths of light."," Although the question of why veins appear blue arises, it remains unanswered."," Some believe that the reflection of light within the blood vessels creates an optical illusion that makes the veins appear blue. Others have suggested that the blood in the veins may absorb light differently than other colors, making them appear blue.",Change conjunctions,1
Why do veins appear blue?,"

Veins appear blue because when white light from the sun or a lightbulb hits your skin, the skin and the blood in the veins absorb most of the colors in the spectrum, leaving blue to be reflected back to your eyes.", Why do they appear blue?,"

The sky appears blue because of the way sunlight interacts with particles in the atmosphere. Sunlight is made up of all of the colors of the rainbow, but when it passes through the atmosphere, it is scattered in all directions by the air molecules. Blue light is scattered more than other colors because it travels in shorter, smaller waves. This is why the sky appears blue.",Use pronouns,1
Why do veins appear blue?,"

Veins appear blue because the blood within them is actually blue-ish. Blood appears red because when oxygen-rich blood from the heart passes through capillaries and is exposed to the air, it oxidizes and appears red. When the blood is further away from the surface and is contained in veins and arteries, it is less exposed to the air and appears blue.", Why does the blood take a backseat?,"

The blood takes a backseat because it is no longer the primary focus of medical science. In recent decades, medical science has shifted its emphasis towards understanding the underlying mechanisms of disease and how to best treat them. This has led to a decrease in the importance of analyzing blood samples and discovering what might be causing a person’s illness. As a result, the focus has shifted from managing blood disorders to managing overall health through diet, lifestyle, and other interventions.",Use idioms,0
What is the spiciest part of a chili pepper?,"

The spiciest part of a chili pepper is the ribs and seeds. They contain the most capsaicin, which is the chemical compound that makes chilies spicy.", What is the hottest part of a chili pepper?,"

The hottest part of a chili pepper is the placenta, where most of the capsaicin (the compound responsible for the heat in chili peppers) is stored.",Verbs- positive to negative (or vice versa),0
What is the spiciest part of a chili pepper?,"

The spiciest part of a chili pepper is the seeds and the white membranes inside, which contain the highest concentration of capsaicin, the compound that makes peppers spicy.", How spicy a chili pepper is could be determined by its part.," The most commonly used peppers to measure heat are the Scoville scale, which measures heat in Scoville Heat Units (SHU). The SHU considers the amount of capsaicin (the compound responsible for the pepper's heat) in a pepper. The higher the number of SHU, the hotter the pepper. Some of the hottest peppers are the Carolina Reaper (2,200,000 SHU), the Trinidad Moruga Scorpion (2,000,000 SHU), and the Ghost Pepper (1,041,427 SHU).",Change active to passive OR passive to active,0
What is the spiciest part of a chili pepper?,"

The spiciest part of a chili pepper is the white inner membrane and the seeds, which contain the highest concentration of capsaicin, the compound that gives peppers their heat.", What is the hottest part of a chili pepper?,"

The hottest part of a chili pepper is the placenta, which is the white, inner membrane that holds the seeds.",Use synonyms,0
What is the spiciest part of a chili pepper?,"

The spiciest part of a chili pepper is the membrane or placenta inside the pepper, which holds the seeds and contains the highest concentration of capsaicin, the chemical compound that gives chili peppers their heat.", What is the hottest part of a chili pepper?,"

The hottest part of a chili pepper is the white pith that connects the seeds to the walls of the pepper. This pith contains the highest concentration of capsaicin, which is the compound responsible for the heat of the pepper.",Change word forms (parts of speech),0
What is the spiciest part of a chili pepper?,"

The spiciest part of a chili pepper is the inside membrane that holds the seeds. This area contains the highest concentration of capsaicin, the compound responsible for a pepper’s heat.", Of what part of a chili pepper is the spiciest?,"

The spiciest part of a chili pepper is the ribs and seeds.",Change the structure of a sentence,0
What is the spiciest part of a chili pepper?,"

The spiciest part of a chili pepper is the seeds and the membranes that hold the seeds in place."," Although I wanted to know what is the spiciest part of a chili pepper, I didn't know.",,Change conjunctions,1
What is the spiciest part of a chili pepper?,"

The spiciest part of a chili pepper is the placenta, which is the white inner membrane that holds the seeds. This part of the chili pepper contains the highest concentration of capsaicin, the compound responsible for the level of heat or spiciness.", What is its spiciest part?,"

The spiciest part of Mexican cuisine is the chilli peppers and other spicy ingredients which are used to flavor dishes. Popular spicy ingredients include jalapeño peppers, chipotle peppers, habanero peppers, and poblano peppers, as well as spices such as cumin, coriander, oregano, and cinnamon.",Use pronouns,0
What is the spiciest part of a chili pepper?,"

The spiciest part of a chili pepper is the inner membrane, which holds the seeds, as this is the part of the pepper that contains the highest concentration of capsaicin.", Where is the heat at in a chili pepper?,"

The heat in a chili pepper is mainly concentrated in the red ribs and seeds, which are the most pungent parts.",Use idioms,0
How long should you wait before filing a missing person report?,"

The answer to this question varies depending on the situation. In most cases, it is recommended to file a missing person report as soon as possible. However, if the person has been known to have a history of taking off for long periods of times or if the person is an adult and has only been missing for a short period of time, it may be wise to wait a few days before filing a report.", How long should you not wait before filing a missing person report?,"

It is recommended to file a missing person report as soon as possible. Each jurisdiction may have its own protocols, but in general, you should file the report within 48 hours of the person's disappearance.",Verbs- positive to negative (or vice versa),0
How long should you wait before filing a missing person report?,"

It is recommended that you wait at least 24 hours before filing a missing person report.", A missing person report should be filed after a certain length of time has passed.," This varies depending on the area and the situation. Generally, it is best to file the report as soon as possible in order to increase the chance of locating the person.",Change active to passive OR passive to active,0
How long should you wait before filing a missing person report?,"

The time frame for filing a missing person report varies by jurisdiction and type of crime. In most cases, law enforcement agencies recommend filing a missing person report as soon as possible, even if it is only a few hours after the person was last seen.", How long should you defer before filing a missing person report?,"

It is recommended that you wait at least 24 hours before filing a missing person report. If someone has gone missing under suspicious circumstances, it is best to call the police immediately.",Use synonyms,0
How long should you wait before filing a missing person report?,"

The exact timeline for filing a missing person report will depend on the laws of your local jurisdiction. In some areas, the police may require a waiting period of 24 to 48 hours before filing a report. However, if you feel your loved one is in imminent danger or has been kidnapped, you should contact the police as soon as possible and follow their instructions.", How much time should you allow to elapse before filing a missing person report?,"

If your loved one has been missing for 24 hours or more, you should contact the police and file a missing person report.",Change word forms (parts of speech),0
How long should you wait before filing a missing person report?,"

There is no set amount of time to wait before filing a missing person report. If you are concerned that someone is missing, you should contact law enforcement immediately. The sooner the report is filed, the sooner the search can begin."," Before filing a missing person report, for how long should you wait?","

In the United States, most police agencies suggest waiting at least 24 hours before filing a missing person report.",Change the structure of a sentence,0
How long should you wait before filing a missing person report?,"

Typically, you should wait 24-48 hours before filing a missing person report with the police."," Despite how long you should wait, filing a missing person report is necessary."," 

Police agencies take missing person reports very seriously and they should be filed as soon as possible. Depending on the individual's situation, waiting too long could put the person at risk. If a person has gone missing, contact local law enforcement immediately and file a report.",Change conjunctions,0
How long should you wait before filing a missing person report?,"

Generally speaking, you should wait 24 hours after someone is reported missing before filing a missing persons report.  This is to allow for the person to be located by other family or friends.", How long should one wait before filing a missing person report?,"

In most countries, a missing person report should be filed as soon as possible. If the missing person is a child or teenagers, the police should be contacted immediately. If the person is an adult, it is generally recommended to wait at least 24 hours before filing a report.",Use pronouns,0
How long should you wait before filing a missing person report?,"

The exact amount of time you should wait before filing a missing person report varies from state to state. Generally, it is recommended to file as soon as possible when you begin to worry about someone's safety or whereabouts. In some places, waiting a minimum of 24 hours is required before filing a report.", How long should you sit on your hands before filing a missing person report?,"

There is no official time frame for filing a missing person report. You should contact the relevant authorities as soon as possible if you are concerned for the safety and wellbeing of a missing person.",Use idioms,1
Why do matadors wave red capes?,"

Matadors wave red capes to distract bulls and lead them away from the matador. This allows the matador to perform certain maneuvers and ultimately fight the bull. The color red is known to anger bulls and thus the cape serves as a target for the bull’s focus.", Why don't matadors wave red capes?,"

Red capes are traditionally used in the sport of bullfighting to agitate a bull and get it to charge. Matadors do not use red capes in bullfighting any longer, as the sport has evolved in recent years to feature additional safety precautions for the bull. Some modern matadors may use red capes in other ways, such as to create a dramatic flourish at the end of a fight, but it is not a standard part of the sport.",Verbs- positive to negative (or vice versa),0
Why do matadors wave red capes?,"

Matadors wave red capes in a traditional bullfighting match as a way of attracting the bull's attention, and highlighting the movement of the cape. The red of the cape may also act as a stimulant for the bull, increasing its aggression and focus.", Red capes could be waved by matadors for what purpose?,"

To encourage a bull to charge.",Change active to passive OR passive to active,0
Why do matadors wave red capes?,"

The matador waves a red cape (or muleta) in order to manipulate the bull into charging. The color red symbolizes blood and anger to the bull, so it will charge toward the cape. The bullfighter will then demonstrate his skill by swaying out of the way of the bull at the last moment.", Why do matadors brandish red capes?,"

Matadors brandish red capes in an effort to enrage the bull and attract its attention away from the matador. The bright colour of the red cape helps to focus the bull’s attention on the cape and away from the matador, allowing the matador to control the bull and perform their bullfighting maneuvers.",Use synonyms,1
Why do matadors wave red capes?,"

Matadors wave red capes in front of bulls to direct their attention away from the matador and toward the cape itself. The red color of the cape stands out to the bulls and helps draw their attention to it. The idea is to confuse the bull and make it charge at the cape instead of the matador.", Why do matadors display red capes?,"

Matadors display red capes to attract and anger the bull, inciting it to charge. The color red stands out in the bull's peripheral vision and the swirling motion of the cape is often able to elicit a reaction from the animal.",Change word forms (parts of speech),0
Why do matadors wave red capes?,"

Matadors wave red capes in front of bulls to focus the bull's attention on the cape rather than the matador. The bright color and large size of the cape make it easier for the bull to focus on the cape. Some believe that the movement of the matador waving the cape mimics the movement of the bull's natural prey. This tricks the bull into believing it is attacking prey rather than a human.", For what purpose do matadors wave red capes?,"

Matadors wave red capes to anger and provoke bulls in a bullfight. The bright red colour catches the bull's attention and encourages it to charge.",Change the structure of a sentence,0
Why do matadors wave red capes?,"

Matadors wave red capes during bullfighting to make the bull charge in a specific direction. The color red is thought to make bulls angry, so the matador uses the cape as a tool to control the bull as they fight."," Although matadors wave red capes, why is a question."," The answer is that the color red is thought to stimulate aggression in the bull, and make it focus on the cape instead of the people around it.",Change conjunctions,0
Why do matadors wave red capes?,"

Matadors wave red capes to agitate the bull and to distract it from their movements. The red color is thought to be particularly offensive to bulls because it is the same color as the bull's own blood.", Why do they wave red capes?,"

Red capes are often used to provoke and anger bulls when bullfighting. The red color agitates the bulls because their vision is based on movement. The waving of the cape causes the bull to charge and focus on the cape rather than the matador.",Use pronouns,1
Why do matadors wave red capes?,"

Matadors wave red capes to agitate the bull and get them to charge, providing a spectacle. The bright red color of the cape is also said to stimulate the bull's vision, inciting it to charge. The bull will often become fixated on the movement of the cape, allowing the matador to dodge the animal's horns.", Why do matadors paint the town red?,"

Matadors do not typically paint the town red; this saying is more of a metaphor that means to have a wild or outrageous time.",Use idioms,1
What percentage of the brain does a human typically use?,"

Most people generally only use about 10 percent of their brain's capacity.", What percentage of the brain does a human normally not use?,"

It is impossible to know the exact percentage of the brain that a human does not use, as it depends on individual abilities and activities. Some estimates suggest that humans use only 10-20% of their brain's capacity.",Verbs- positive to negative (or vice versa),0
What percentage of the brain does a human typically use?,"

It is not possible to provide an exact percentage, as it varies from person to person and is also dependent on the individual’s level of activity. Some estimates suggest that the average person only uses about 10-20% of the total brain capacity.", What percentage of their brain do humans typically use?,"

It is widely believed that humans only use 10-20% of their brains, but this is a myth. In reality, humans use almost all of their brains, though not necessarily all at once.",Change active to passive OR passive to active,0
What percentage of the brain does a human typically use?,"

It is difficult to say with any certainty since there is much evidence to suggest that we use more than the commonly suggested 10 percent. Additionally, the exact amount of brain usage varies from person to person. However, some studies have estimated human brain usage to be between 15 and 20 percent.", How much of the brain does a human typically employ?,"

Most people use only a small portion of their brain. Estimates range from 5-30%, depending on the activity.",Use synonyms,0
What percentage of the brain does a human typically use?,"

Most experts agree that the average person uses only a small fraction of the brain's capacity. Estimates vary, but a commonly accepted approximation is that humans generally use around 10% of their brain's capacity.", What proportion of the human brain is usually utilized?,"

It is estimated that we usually only use 10-20% of the brain's capacity.",Change word forms (parts of speech),0
What percentage of the brain does a human typically use?,"

Although there is no hard-and-fast answer to this question, research suggests that most people only use a small percentage of their brain capacity. Estimates vary, with some suggesting that we use as little as 5%, while others propose a slightly higher number of 10-20%.", The percentage of the brain a human typically uses is what was inquired about.," This is a difficult question to answer, as it is unclear how the brain is being used. Depending on the task or activity being done, different parts of the brain may be activated. In general, it is estimated that humans use around 10% of their brain's capacity.",Change the structure of a sentence,1
What percentage of the brain does a human typically use?,"

Most researchers agree that humans use 100% of their brain, though not all at the same time. There is no scientific evidence to support the idea that humans only use 10%, or any other specific percentage, of their brain."," Although I was unsure what percentage of the brain a human typically uses, I wanted to know."," After doing some research, I found out that on average, humans use only around 5 percent of their total brain capacity.",Change conjunctions,0
What percentage of the brain does a human typically use?,"

It is widely accepted that humans typically use only 10% of their brain capacity. However, this figure is misleading as no one really knows what percentage of the brain is actually used or if it is even possible to measure this.", What percentage of it do humans typically use?,"

Humans typically use about 10-15% of their total brain capacity.",Use pronouns,1
What percentage of the brain does a human typically use?,"

It is difficult to estimate the percentage of the brain that humans typically use, as different individuals may use more of their brain than others. However, the majority of the brain is typically used in some capacity. Studies suggest that most people use between 10-20% of their brain's capacity.", How much of the brain does a human typically tap into?,"

A human typically taps into about 10% of their total brain power.",Use idioms,0
What would happen if you were struck by a penny dropped from the top of the Empire State Building?,"

If you were struck by a penny dropped from the top of the Empire State Building, the impact would be incredibly powerful. The penny would reach a terminal velocity of around 180 mph, and if it hit you it would feel like being shot with a small bullet. This could easily cause serious injury or death.", Historians cannot say what would occur if you were hit by a penny dropped from the top of the Empire State Building.," This is because the outcome would depend on a number of variables, such as the velocity at which the penny is dropped, the angle it is dropped at, the size and weight of the penny, and the size and weight of the person the penny is dropped on.",Verbs- positive to negative (or vice versa),0
What would happen if you were struck by a penny dropped from the top of the Empire State Building?,"

If you were struck by a penny dropped from the top of the Empire State Building, it would most likely do very little damage or injury because the penny would have such a small mass compared to the force of its impact. However, it could still cause minor bruising, particularly if it hit you directly in the eye."," If a penny were to be dropped from the top of the Empire State Building, what would be the outcome?","

A penny dropped from the top of the Empire State Building would reach a terminal velocity of about 50 miles per hour and cause minimal damage when it hit the ground. It is unlikely that the penny would cause any injury or significant property damage.",Change active to passive OR passive to active,0
What would happen if you were struck by a penny dropped from the top of the Empire State Building?,"

If you were struck by a penny dropped from the top of the Empire State Building, the penny would likely not cause any significant injury. The penny would reach a maximum speed of around 200 mph, but by the time it reached you at the bottom of the building, the penny would have slowed down so much that it wouldn't be very powerful at all.", What would occur if you were hit by a penny falling from the peak of the Empire State Building?,"

If you were hit by a penny falling from the peak of the Empire State Building, it could cause significant damage, depending on the speed and angle of the impact. At high velocity, the impact could break bones, cause severe bruising, or even cause a fatal injury.",Use synonyms,0
What would happen if you were struck by a penny dropped from the top of the Empire State Building?,"

If you were struck by a penny dropped from the top of the Empire State Building, it could cause serious injury or even death. The penny would reach a staggering speed of over 200 miles per hour, and possess enough energy to penetrate the human skull. The impact would be like a bullet or a shotgun blast."," If a penny were dropped from the top of the Empire State Building, what would be the outcome?","

The penny would hit the ground with an immense amount of force, most likely causing it to shatter or flatten. It could also potentially injure anyone standing near it.",Change word forms (parts of speech),0
What would happen if you were struck by a penny dropped from the top of the Empire State Building?,"

If you were struck by a penny dropped from the top of the Empire State Building, it would almost certainly not cause any serious injury due to the penny's small size and low weight. However, the penny could cause a minor injury such as a bruise depending on how it strikes the person."," If a penny dropped from the top of the Empire State Building were to hit you, what would occur?","

If a penny were to drop from the top of the Empire State Building and hit someone, it would have significant force behind it, depending on its terminal velocity, which could potentially cause physical injury. Generally speaking, the penny would have a terminal velocity of 50–200 mph depending on the air resistance, and it could easily cause serious damage if it hit someone.",Change the structure of a sentence,0
What would happen if you were struck by a penny dropped from the top of the Empire State Building?,"

If a penny was dropped from the top of the Empire State Building it would be traveling at approximately 200 mph when it strikes you. This would likely cause serious injury, depending on what part of your body was struck."," If a penny dropped from the top of the Empire State Building were to hit you, what would be the outcome?","

If a penny dropped from the top of the Empire State Building were to hit you, it is unlikely that the penny would have enough force to cause any real harm. However, the impact could be painful and you could potentially suffer a bruise.",Change conjunctions,0
What would happen if you were struck by a penny dropped from the top of the Empire State Building?,"

If you were struck by a penny dropped from the top of the Empire State Building, it would likely cause serious injury or death. The penny would be traveling at a very high velocity due to the height of the building, and it would have enough force to penetrate skin and bone."," If it struck you, what would occur?","

If an asteroid struck Earth, it would depend on the size of the asteroid and where it struck. Generally, the impact of an asteroid could cause severe destruction, with potential destruction including ground shaking, shock waves, damage from projectile fragments, tsunamis, and firestorms. The destruction could range from localized destruction to events that could have an effect on the entire planet.",Use pronouns,1
What would happen if you were struck by a penny dropped from the top of the Empire State Building?,"

If you were struck by a penny dropped from the top of the Empire State Building, the penny would likely not cause any harm. A penny falling from that height would have virtually no kinetic energy due to the low mass of the penny and the significant amount of air resistance. The penny would be traveling at a relatively slow speed by the time it fell to the ground.", What would happen if you got hit by a penny falling from the top of the Empire State Building?,"

If you were hit by a penny falling from the top of the Empire State Building, you would likely experience a minor injury or bruise due to the penny's high speed and weight. However, due to the distance of the fall, the impact force of the penny would be significantly reduced, so it is highly unlikely the injury would be serious.",Use idioms,0
What U.S. state produces the most peaches?,"

The state that produces the most peaches in the United States is Georgia.", What U.S. state does not produce the most peaches?,"

Alaska.",Verbs- positive to negative (or vice versa),0
What U.S. state produces the most peaches?,"

The state that produces the most peaches in the United States is California.", The most peaches are produced by which U.S. state?,"

The most peaches produced by a U.S. state are produced by California.",Change active to passive OR passive to active,1
What U.S. state produces the most peaches?,"

The state of Georgia is the leading producer of peaches in the United States, according to the USDA.", What U.S. state yields the most peaches?,"

The state that yields the most peaches in the United States is Georgia.",Use synonyms,1
What U.S. state produces the most peaches?,"

Georgia is the leading producer of peaches in the United States.", What is the U.S. state that produces the maximum amount of peaches?,"

The U.S. state that produces the most peaches is California.",Change word forms (parts of speech),0
What U.S. state produces the most peaches?,"

Georgia is the leading producer of peaches in the United States.", The most peaches are produced by which U.S. state?,"

The top producer of peaches in the United States is California.",Change the structure of a sentence,0
What U.S. state produces the most peaches?,"

Georgia is the U.S. state that produces the most peaches."," Although what U.S. state produces the most peaches was a question, I wanted the answer.","


The answer is Georgia.",Change conjunctions,1
What U.S. state produces the most peaches?,"

The state of Georgia produces the most peaches in the United States.", Which U.S. state produces the most peaches?,"

Georgia is the leading producer of peaches in the United States.",Use pronouns,1
What U.S. state produces the most peaches?,"

The state of Georgia produces the most peaches in the United States.", Which state yields the most peaches in the U.S.?,"

The state that yields the most peaches in the U.S. is California.",Use idioms,0
Why do chameleons change colors?,"

Chameleons change colors in response to changes in their environment. They use color-changing as a way to regulate their body temperature, as darker colors absorb more light and heat than lighter colors. They may also use color-changing to blend in with their surroundings as camouflage, as a way to communicate with other chameleons, and to show potential mates their physical and emotional state.", Why don't chameleons change colors?,"

Chameleons typically have a variety of colors in their palette, but they only change colors in response to certain environmental cues, such as temperature, light, and humidity levels. They may also change colors to communicate with other chameleons or to blend in with their surroundings and hide from predators.",Verbs- positive to negative (or vice versa),0
Why do chameleons change colors?,"

Chameleons change color for a variety of reasons, such as to regulate their body temperature, camouflage, to communicate, or to express their emotions.", Colors could be changed by why do chameleons?,"

Chameleons change color in order to aid in camouflage and communication. The ability to change color is an adaptation to their environment and is used as a way to blend in or stand out depending on the situation. In addition, many chameleons use their changing colors as a form of communication and to establish dominance amongst other chameleons.",Change active to passive OR passive to active,0
Why do chameleons change colors?,"

Chameleons change color as a means of communication, and to regulate their body temperature by absorbing or reflecting more light. They may also change color in response to an emotional change, such as fear or aggression.", What is the reason for chameleons to alter their hues?,"

Chameleons typically change their hue to help camouflage themselves from predators or to communicate with other chameleons. They may also change their hue to regulate their temperature or to better absorb light in different environments.",Use synonyms,0
Why do chameleons change colors?,"

Chameleons change colors in order to regulate their body temperature, as well as to blend in with their surroundings for camouflage. It is also used as a form of communication, with chameleons changing to more vibrant colors during courtship rituals or when threatened.", What causes chameleons to alter their colors?,"

Chameleons change their colors in response to light, temperature, and emotional state. They can change their colors for camouflage, communication, and to regulate their body temperatures.",Change word forms (parts of speech),1
